THRUST
; AeroTech H123W
; converted from TMT test stand data 1999 (www.tripoli.org)
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 279g, propellant weight: 126g
0.00	0.00
0.02	63.48
0.07	133.66
0.12	144.52
0.17	149.11
0.22	149.78
0.27	152.65
0.32	152.26
0.37	152.12
0.42	150.73
0.47	151.36
0.52	149.54
0.57	149.30
0.62	150.83
0.67	149.59
0.72	148.77
0.77	147.05
0.82	144.52
0.87	144.32
0.92	143.70
0.97	142.12
1.02	140.54
1.07	137.53
1.12	133.18
1.17	128.35
1.22	121.84
1.27	115.57
1.32	111.65
1.37	103.04
1.42	98.16
1.47	91.70
1.52	85.34
1.57	80.03
1.62	73.48
1.67	66.92
1.72	59.70
1.77	53.77
1.82	50.52
1.87	46.40
1.92	43.96
1.97	36.74
2.02	28.18
2.07	21.38
2.12	15.50
2.17	12.34
2.22	8.71
2.27	6.70
2.32	6.03
2.37	4.69
-1.00
